No errors
No warnings
68 ms
data source=aircraftreports
1104 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2018-04-02T18:36:53Z,2018-04-02T18:36:00Z,,,,,,,NAX7005,62.6833,-24.1167,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,328,25,,AIREP,ARP NAX7005 6241N02407W 1836 F400 6200N03000W 1857 6000N04000W MS47 328/25 KT LNLNH QXS REK 021836 L51A ,
2018-04-02T18:36:50Z,2018-04-02T18:36:00Z,,,,,,,VIR23J,60.8333,-53.6333,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,1,25,,AIREP,ARP VIR23J 6050N05338W 1836 F380 6029N05800W 1851 MIBNO MS50 001/25 KT GVWOO DDL XXH 021836 L68A ,
2018-04-02T18:36:54Z,2018-04-02T18:36:00Z,,,,,,,KLM643,55.3,-26.9,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,279,16,,AIREP,ARP KLM643 5518N02654W 1836 F370 5531N03000W 1850 5431N04000W MS51 279/16 KT PHBQF QXT EUA 021836 F29A ,
2018-04-02T18:36:54Z,2018-04-02T18:36:00Z,,,,,,,ACA889,54.5333,-36.0333,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,,,,AIREP,ARP ACA889 5432N03602W 1836 F330 5402N04001W 1855 5302N05001W MS54 327/9 KT CFCAF DDL IG1 021836 F69A ,
2018-04-02T18:36:43Z,2018-04-02T18:36:00Z,,,,,,,THY77J,51.8667,-50.6,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,233,28,,AIREP,ARP THY77J 5152N05036W 1836 F340 5111N05315W 1850 4543N06748W MS44 233/28 KT TCLJE QXT EUA 021836 F64A ,
2018-04-02T18:36:38Z,2018-04-02T18:36:00Z,,,,,,,IBE6253,51.0833,-42.5833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,247,33,,AIREP,ARP IBE6253 5105N04235W 1836 F390 5100N05000W 1914 ALLRY MS49 247/33 KT ECLUX QXT AME 021836 J77A ,
2018-04-02T18:36:12Z,2018-04-02T18:35:00Z,,,,,,,BAW269,60.7333,-26.45,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,322,27,,AIREP,ARP BAW269 6044N02627W 1835 F370 6100N03000W 1849 6200N04000W MS49 322/27 KT GXLEB QXS REK 021835 J55A ,
2018-04-02T18:36:38Z,2018-04-02T18:35:00Z,,,,,,,DLH8P,59.6167,-45.1833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,,,,AIREP,ARP DLH8P 5937N04511W 1835 F390 5902N05001W 1854 AVUTI MS52 181/8 KT DAIXG DDL XXH 021836 J51A ,
2018-04-02T18:35:53Z,2018-04-02T18:35:00Z,,,,,,,AAL91,59.3833,-22.8833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,317,17,,AIREP,ARP AAL91 5923N02253W 1835 F380 6001N03000W 1903 6001N04000W MS47 317/17 KT N804AN DDL KEF 021835 L27A ,
2018-04-02T18:36:12Z,2018-04-02T18:35:00Z,,,,,,,DLH2C,56.5,-35.9667,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,276,15,,AIREP,ARP DLH2C 5630N03558W 1835 F380 5600N04000W 1853 5500N05000W MS51 276/15 KT DAIKM DDL XXH 021835 J58A ,
