No errors
No warnings
531 ms
data source=metars
4855 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
K4BM 021836Z AUTO 22018G36KT 10SM CLR 06/M16 A2977 RMK AO2 LTG DSNT NW,K4BM,2018-04-02T18:36:00Z,39.05,-105.52,6.0,-16.0,220,18,36,10.0,29.769686,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,3438.0
KBDU 021836Z AUTO 27024G32KT 10SM CLR 21/M07 A2945 RMK AO2,KBDU,2018-04-02T18:36:00Z,40.03,-105.23,21.0,-7.0,270,24,32,10.0,29.450787,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1612.0
KMYP 021836Z AUTO 24045G59KT 10SM SCT065 03/M13 A2992 RMK AO2,KMYP,2018-04-02T18:36:00Z,38.48,-106.32,3.0,-13.0,240,45,59,10.0,29.920275,,,TRUE,TRUE,,,,,,,SCT,6500,,,,,,,VFR,,,,,,,,,,,,METAR,3667.0
SPEC B ,SPEC,2018-04-02T18:36:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,
CYTS 021835Z 30012KT 1 1/2SM -SHSN OVC014 M04/M08 A2986 RMK SN4SC4 CVCTV CLD EMBD SLP134,CYTS,2018-04-02T18:35:00Z,48.57,-81.37,-4.0,-8.0,300,12,,1.5,29.861221,1013.4,,,,,,,,,-SHSN,OVC,1400,,,,,,,IFR,,,,,,,,,,,,SPECI,295.0
KCCA 021835Z AUTO 12005KT 6SM BR OVC009 08/06 A2996 RMK AO2,KCCA,2018-04-02T18:35:00Z,35.6,-92.45,8.0,6.0,120,5,,6.0,29.958662,,,TRUE,TRUE,,,,,,BR,OVC,900,,,,,,,IFR,,,,,,,,,,,,SPECI,157.0
KSPF 021835Z AUTO 08005KT 10SM OVC006 M03/M04 A2959 RMK AO2,KSPF,2018-04-02T18:35:00Z,44.47,-103.77,-3.0,-4.0,80,5,,10.0,29.589567,,,TRUE,TRUE,,,,,,,OVC,600,,,,,,,IFR,,,,,,,,,,,,SPECI,1188.0
KGGI 021835Z AUTO 15018G23KT 10SM CLR 04/M06 A2991 RMK AO2 T00381064,KGGI,2018-04-02T18:35:00Z,41.72,-92.73,3.8,-6.4,150,18,23,10.0,29.911417,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,307.0
K1S5 021835Z AUTO 30010G14KT 10SM CLR 08/M07 A2996 RMK AO2 T00771073,K1S5,2018-04-02T18:35:00Z,46.33,-119.97,7.7,-7.3,300,10,14,10.0,29.958662,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,234.0
KWYS 021835Z AUTO 31012G22KT 270V340 9SM FEW037 FEW043 FEW050 02/M06 A2944 RMK AO2,KWYS,2018-04-02T18:35:00Z,44.67,-111.12,2.0,-6.0,310,12,22,9.0,29.438976,,,TRUE,TRUE,,,,,,,FEW,3700,FEW,4300,FEW,5000,,,VFR,,,,,,,,,,,,METAR,2025.0
